name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Restaurant Family Style Onion Rings,Restaurant Foods,19.28,4.89,40.72,259.0
Restaurant Family Style Chili With Meat And Beans,Restaurant Foods,9.79,12.56,4.57,136.0
Restaurant Family Style Spaghetti And Meatballs,Restaurant Foods,8.52,7.84,15.51,134.0
Carrabbas Italian Grill Lasagne,Restaurant Foods,11.06,10.48,12.36,437.0
On The Border Mexican Rice,Restaurant Foods,4.86,3.56,34.15,114.0
On The Border Refried Beans,Restaurant Foods,5.0,7.3,17.52,135.0
Restaurant Italian Spaghetti With Pomodoro Sauce (No Meat),Restaurant Foods,1.89,3.9,17.77,510.0
On The Border Cheese Quesadilla,Restaurant Foods,25.5,16.87,24.25,203.0
Restaurant Mexican Cheese Quesadilla,Restaurant Foods,23.08,15.93,24.11,205.0
Carrabbas Italian Grill Cheese Ravioli With Marinara Sauce,Restaurant Foods,6.0,7.96,17.62,365.0
Olive Garden Cheese Ravioli With Marinara Sauce,Restaurant Foods,5.61,7.44,19.64,454.0
Restaurant Italian Cheese Ravioli With Marinara Sauce,Restaurant Foods,5.7,7.07,18.5,427.0
Macaroni And Cheese Box Mix With Cheese Sauce Unprepared,Prepared Meals,10.67,12.73,46.66,25.0
Macaroni And Cheese Box Mix With Cheese Sauce Prepared,Prepared Meals,4.99,6.68,23.1,189.0
Taquitos Frozen Chicken And Cheese Oven-Heated,Prepared Meals,12.54,9.21,33.63,42.0
Taquitos Frozen Beef And Cheese Oven-Heated,Prepared Meals,12.79,9.4,33.46,42.0
Potsticker Or Wonton Pork And Vegetable Frozen Unprepared,Prepared Meals,5.52,8.28,13.28,145.0
Macaroni Or Noodles With Cheese Made From Reduced Fat Packaged Mix Unprepared,Prepared Meals,4.03,13.1,52.06,99.0
Turnover Cheese-Filled Tomato-Based Sauce Frozen Unprepared,Prepared Meals,9.45,10.24,27.29,127.0
