name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Cookie Butter Or Sugar With Fruit And/or Nuts,Baked Foods,20.96,6.59,65.08,5.0
Cookie Butter Or Sugar With Icing Or Filling Other Than Chocolate,Baked Foods,14.62,3.37,72.59,7.0
Pie Apple One Crust,Baked Foods,9.27,1.8,39.01,1203.0
Pie Apple Diet,Baked Foods,5.33,2.13,44.71,85.0
Pie Apricot Two Crust,Baked Foods,12.53,3.16,39.13,1203.0
Pie Blackberry Two Crust,Baked Foods,12.53,2.83,35.72,1521.0
Pie Blackberry Individual Size Or Tart,Baked Foods,14.19,3.13,36.93,117.0
Pie Berry Not Blackberry Blueberry Boysenberry Huckleberry Raspberry Or Strawberry; Two Crust,Baked Foods,13.78,2.6,39.62,1203.0
Pie Berry Not Blackberry Blueberry Boysenberry Huckleberry Raspberry Or Strawberry; One Crust,Baked Foods,10.31,1.76,38.73,1096.0
Pie Berry Not Blackberry Blueberry Boysenberry Huckleberry Raspberry Or Strawberry Individual Size Or Tart,Baked Foods,15.52,2.96,40.66,117.0
Pie Blueberry One Crust,Baked Foods,8.72,2.22,32.59,1096.0
Pie Blueberry Individual Size Or Tart,Baked Foods,13.96,2.82,38.84,117.0
Pie Cherry One Crust,Baked Foods,8.56,2.08,36.73,1096.0
Pie Lemon Not Cream Or Meringue,Baked Foods,15.52,5.06,57.19,791.0
Pie Lemon Not Cream Or Meringue Individual Size Or Tart,Baked Foods,16.76,5.25,56.8,117.0
Pie Mince Individual Size Or Tart,Baked Foods,14.44,3.33,42.01,117.0
Pie Peach One Crust,Baked Foods,8.27,2.22,38.49,1203.0
Pie Peach Individual Size Or Tart,Baked Foods,14.2,3.21,39.07,117.0
Pie Pear Two Crust,Baked Foods,12.12,2.47,37.99,1203.0
Pie Pear Individual Size Or Tart,Baked Foods,14.08,2.82,39.06,117.0
Pie Pineapple Two Crust,Baked Foods,12.07,2.53,36.9,1203.0
Pie Plum Two Crust,Baked Foods,13.61,2.78,40.73,1203.0
Pie Prune One Crust,Baked Foods,9.64,3.75,51.25,1203.0
Pie Raisin Two Crust,Baked Foods,10.96,2.62,36.93,1203.0
Pie Raisin Individual Size Or Tart,Baked Foods,13.54,3.13,40.46,117.0
Pie Raspberry One Crust,Baked Foods,9.62,2.13,37.87,1096.0
Pie Raspberry Two Crust,Baked Foods,13.42,2.84,38.48,1203.0
Pie Rhubarb Two Crust,Baked Foods,15.34,3.25,36.8,1203.0
Pie Rhubarb One Crust,Baked Foods,10.69,2.42,35.58,1096.0
Pie Rhubarb Individual Size Or Tart,Baked Foods,17.09,3.58,37.79,117.0
Pie Strawberry One Crust,Baked Foods,9.58,2.29,34.6,1343.0
Pie Strawberry-Rhubarb Two Crust,Baked Foods,14.31,3.1,35.64,1521.0
Pie Strawberry Individual Size Or Tart,Baked Foods,12.5,2.82,36.31,117.0
Pie Apple-Sour Cream,Baked Foods,9.22,1.84,29.98,1274.0
Pie Cherry Made With Cream Cheese And Sour Cream,Baked Foods,12.95,3.13,39.96,1274.0
Pie Banana Cream Individual Size Or Tart,Baked Foods,10.82,4.49,31.04,117.0
Pie Buttermilk,Baked Foods,18.08,4.14,51.63,1154.0
Pie Chess,Baked Foods,20.04,5.31,53.44,714.0
Pie Chocolate Cream Individual Size Or Tart,Baked Foods,13.83,5.3,36.19,117.0
Pie Coconut Cream Individual Size Or Tart,Baked Foods,11.31,5.45,25.46,117.0
Pie Custard Individual Size Or Tart,Baked Foods,4.66,5.74,26.5,117.0
Mixed Fruit Tart Filled With Custard Or Cream Cheese,Baked Foods,8.8,3.5,21.02,1265.0
Dessert Pizza,Baked Foods,8.96,1.92,30.94,108.0
Pie Lemon Cream,Baked Foods,10.82,4.61,38.65,1154.0
Pie Lemon Cream Individual Size Or Tart,Baked Foods,12.48,4.68,38.72,117.0
Pie Peanut Butter Cream,Baked Foods,14.63,7.65,34.08,1154.0
Pie Pineapple Cream,Baked Foods,7.65,3.73,29.86,1154.0
Pie Raspberry Cream,Baked Foods,11.31,2.46,23.12,1154.0
Pie Sour Cream Raisin,Baked Foods,22.68,5.05,34.55,1154.0
Pie Squash,Baked Foods,8.0,4.16,25.88,1235.0
Pie Strawberry Cream,Baked Foods,10.71,1.65,26.31,1449.0
Pie Strawberry Cream Individual Size Or Tart,Baked Foods,13.31,2.23,28.73,117.0
Pie Sweet Potato,Baked Foods,15.06,3.26,29.03,1530.0
Pie Yogurt Frozen,Baked Foods,14.22,3.28,27.37,1154.0
Pie Chiffon Not Chocolate,Baked Foods,11.74,6.66,40.19,792.0
Pie Chiffon Chocolate,Baked Foods,15.0,6.39,41.43,792.0
Pie Black Bottom,Baked Foods,15.54,5.45,37.47,792.0
Pie Chocolate-Marshmallow,Baked Foods,20.64,4.6,47.28,819.0
Pie Oatmeal,Baked Foods,15.65,5.08,60.17,915.0
Pie Pudding Flavors Other Than Chocolate,Baked Foods,11.1,3.85,27.12,885.0
Pie Pudding Flavors Other Than Chocolate Individual Size Or Tart,Baked Foods,17.27,4.87,39.8,117.0
Pie Pudding Chocolate With Chocolate Coating Individual Size,Baked Foods,22.2,4.3,42.96,142.0
Pie Pudding Flavors Other Than Chocolate With Chocolate Coating Individual Size,Baked Foods,21.89,4.06,42.81,142.0
Pie Toll House Chocolate Chip,Baked Foods,39.21,5.86,44.71,915.0
Pie Shoo-Fly,Baked Foods,11.04,3.91,60.73,915.0
Pie Tofu With Fruit,Baked Foods,12.03,4.74,22.64,1154.0
Cobbler Apple,Baked Foods,4.87,2.31,36.47,217.0
Cobbler Apricot,Baked Foods,4.39,2.63,35.77,217.0
Cobbler Berry,Baked Foods,5.8,2.78,43.03,217.0
Cobbler Cherry,Baked Foods,5.12,2.36,35.69,217.0
Cobbler Peach,Baked Foods,4.67,2.48,38.15,217.0
Cobbler Pear,Baked Foods,4.88,2.14,42.13,217.0
Cobbler Pineapple,Baked Foods,4.6,1.99,36.75,217.0
Cobbler Plum,Baked Foods,4.73,2.28,38.35,217.0
Cobbler Rhubarb,Baked Foods,6.58,2.36,46.86,217.0
Crisp Apple Apple Dessert,Baked Foods,3.45,1.97,30.77,246.0
Fritter Apple,Baked Foods,24.45,6.44,34.78,17.0
Fritter Banana,Baked Foods,21.33,5.03,34.43,34.0
Fritter Berry,Baked Foods,22.05,5.62,31.44,24.0
Crisp Blueberry,Baked Foods,10.15,1.88,41.15,246.0
Crisp Cherry,Baked Foods,7.83,1.94,47.36,246.0
Crisp Peach,Baked Foods,6.87,1.71,37.79,246.0
Crisp Rhubarb,Baked Foods,6.5,1.2,42.84,246.0
Cream Puff Eclair Custard Or Cream Filled Ns As To Icing,Baked Foods,24.36,4.5,10.48,102.0
Cream Puff Eclair Custard Or Cream Filled Not Iced,Baked Foods,21.35,4.92,12.47,90.0
Cream Puff Eclair Custard Or Cream Filled Iced Reduced Fat,Baked Foods,7.03,3.43,41.85,60.0
Air Filled Fritter Or Fried Puff Without Syrup Puerto Rican Style,Baked Foods,23.64,6.46,50.34,57.0
Wheat Flour Fritter Without Syrup,Baked Foods,41.23,7.64,19.5,22.0
Sopaipilla Without Syrup Or Honey,Baked Foods,19.91,5.49,40.93,10.0
Sopaipilla With Syrup Or Honey,Baked Foods,15.84,4.11,51.85,12.0
Tamale Sweet,Baked Foods,12.52,2.22,35.67,34.0
Tamale Sweet With Fruit,Baked Foods,8.48,1.78,31.23,49.0
Strudel Berry,Baked Foods,6.24,3.48,46.4,64.0
Strudel Cherry,Baked Foods,10.1,4.36,45.06,64.0
Strudel Cheese,Baked Foods,12.83,10.1,37.65,64.0
Strudel Peach,Baked Foods,5.16,3.14,37.67,64.0
Strudel Pineapple,Baked Foods,5.6,2.8,48.19,64.0
Strudel Cheese And Fruit,Baked Foods,8.47,6.89,29.8,64.0
Baklava,Baked Foods,29.13,6.64,37.53,78.0
Basbousa,Baked Foods,10.4,4.99,50.13,82.0
Turnover Or Dumpling Apple,Baked Foods,18.04,3.64,43.6,82.0
Turnover Or Dumpling Berry,Baked Foods,17.73,3.79,45.55,78.0
Turnover Or Dumpling Cherry,Baked Foods,15.07,3.27,40.01,78.0
Turnover Or Dumpling Lemon,Baked Foods,15.63,3.47,37.05,78.0
Turnover Or Dumpling Peach,Baked Foods,16.57,3.95,43.15,78.0
Turnover Guava,Baked Foods,16.25,3.98,37.48,78.0
Turnover Pumpkin,Baked Foods,14.34,5.56,25.51,78.0
Pastry Fruit-Filled,Baked Foods,19.24,4.07,39.84,78.0
Pastry Made With Bean Or Lotus Seed Paste Filling Baked,Baked Foods,4.03,6.81,67.89,51.0
Pastry Made With Bean Paste And Salted Egg Yolk Filling Baked,Baked Foods,7.88,8.38,57.24,204.0
Pastry Chinese Made With Rice Flour,Baked Foods,5.92,2.47,45.21,28.0
Pastry Cookie Type Fried,Baked Foods,25.24,5.76,35.44,46.0
Pastry Italian With Cheese,Baked Foods,12.03,9.51,32.51,85.0
Pastry Puff Custard Or Cream Filled Iced Or Not Iced,Baked Foods,29.79,5.84,29.87,57.0
Cheese Pastry Puffs,Baked Foods,19.26,9.21,13.13,6.0
Empanada Mexican Turnover Fruit-Filled,Baked Foods,15.34,4.65,40.04,142.0
Empanada  Mexican Turnover Pumpkin,Baked Foods,11.63,4.57,41.7,132.0
Doughnut Cake Type Chocolate Covered Dipped In Peanuts,Baked Foods,23.0,5.74,47.72,53.0
Churros,Baked Foods,30.58,3.02,49.8,26.0
Doughnut Chocolate Raised Or Yeast With Chocolate Icing,Baked Foods,19.66,5.9,54.0,71.0
Doughnut Chocolate Raised Or Yeast,Baked Foods,22.27,6.68,48.39,50.0
Doughnut Raised Or Yeast Chocolate Covered,Baked Foods,19.42,5.38,52.61,71.0
Doughnut Chocolate Cream-Filled,Baked Foods,18.36,5.48,41.66,65.0
Doughnut Custard-Filled With Icing,Baked Foods,13.95,4.11,55.52,70.0
Coffee Cake Crumb Or Quick-Bread Type,Baked Foods,17.71,6.36,51.24,692.0
Coffee Cake Crumb Or Quick-Bread Type With Fruit,Baked Foods,11.3,4.12,50.2,785.0
Coffee Cake Crumb Or Quick-Bread Type Cheese-Filled,Baked Foods,17.25,7.24,44.43,568.0
Cereal Or Granola Bar With Rice Cereal,Snacks,9.0,3.4,80.5,28.0
Breakfast Bar Nfs,Snacks,7.5,4.4,72.9,43.0
Breakfast Bar Cereal Crust With Fruit Filling Lowfat,Snacks,7.5,4.4,72.9,37.0
Nutrition Bar (Clif Kids Organic Zbar),Snacks,9.72,5.55,74.72,36.0
Nutrition Bar (Tiger's Milk),Snacks,14.29,16.8,56.46,35.0
Nutrition Bar (Zone Perfect Classic Crunch),Snacks,14.0,30.0,45.0,50.0
Nutrition Bar Or Meal Replacement Bar Nfs,Snacks,14.0,30.0,45.0,34.0
Crackers Breakfast Biscuit,Snacks,15.06,7.12,71.01,15.0
Crackers Saltine Reduced Sodium,Snacks,8.75,9.39,73.48,3.0
Crackers Flatbread,Snacks,8.25,9.85,75.23,10.0
Crackers Rice And Nuts,Snacks,8.85,10.78,77.41,3.0
Rice Paper,Snacks,1.21,5.07,72.54,5.0
Crackers Sandwich Peanut Butter Filled (Ritz),Snacks,25.0,7.5,57.14,7.0
Crackers Sandwich Cheese Filled (Ritz),Snacks,25.09,7.66,56.05,7.0
Crackers Woven Wheat,Snacks,15.26,8.94,70.14,5.0
Crackers Woven Wheat Plain (Triscuit),Snacks,15.26,8.94,70.14,5.0
Crackers Woven Wheat Flavored (Triscuit),Snacks,15.26,8.94,70.14,5.0
Crackers Wheat,Snacks,15.26,8.94,70.14,3.0
Crackers Wheat Plain (Wheat Thins),Snacks,15.26,8.94,70.14,3.0
Crackers Wheat Flavored (Wheat Thins),Snacks,15.26,8.94,70.14,3.0
Corn Chips Plain,Snacks,33.1,6.12,56.45,1.0
Corn Chips Flavored,Snacks,34.02,6.11,56.34,1.0
Corn Chips Plain (Fritos),Snacks,33.36,6.17,56.9,1.0
Corn Chips Flavored (Fritos),Snacks,33.19,6.14,56.62,1.0
Cheese Flavored Corn Snacks,Snacks,36.01,5.85,53.53,2.0
Cheese Flavored Corn Snacks (Cheetos),Snacks,36.01,5.85,53.53,2.0
Corn Chips Reduced Sodium,Snacks,33.63,6.84,56.54,1.0
Tortilla Chips Popped,Snacks,11.19,10.19,74.18,2.0
Tortilla Chips Cool Ranch Flavor (Doritos),Snacks,20.58,7.06,67.44,3.0
Tortilla Chips Reduced Fat Plain,Snacks,5.63,10.86,79.07,2.0
Tortilla Chips Reduced Fat Flavored,Snacks,5.63,10.86,79.07,2.0
Tortilla Chips Reduced Sodium,Snacks,19.84,9.35,68.08,2.0
Snack Mix,Snacks,25.61,7.0,62.68,60.0
Popcorn Nfs,Snacks,31.07,8.69,55.99,85.0
Popcorn Movie Theater With Added Butter,Snacks,58.78,4.96,31.65,84.0
Popcorn Movie Theater Unbuttered,Snacks,48.7,6.18,39.87,66.0
Popcorn Air-Popped Unbuttered,Snacks,4.52,12.89,77.47,8.0
Popcorn Air-Popped With Added Butter Or Margarine,Snacks,14.87,11.02,65.75,11.0
Popcorn Popped In Oil Unbuttered,Snacks,27.99,8.96,57.87,11.0
Popcorn Popped In Oil With Added Butter Or Margarine,Snacks,34.77,7.69,49.13,14.0
Popcorn Microwave Nfs,Snacks,31.07,8.69,55.99,85.0
Popcorn Microwave Plain,Snacks,31.07,8.69,55.99,85.0
Popcorn Microwave Plain Light,Snacks,9.43,12.51,71.5,85.0
Popcorn Microwave Low Sodium,Snacks,27.88,8.93,57.64,85.0
Popcorn Microwave Unsalted,Snacks,27.88,8.93,57.64,85.0
Popcorn Microwave Butter Flavored,Snacks,31.07,8.69,55.99,85.0
Popcorn Microwave Butter Flavored Light,Snacks,9.43,12.51,71.5,85.0
Popcorn Microwave Cheese Flavored,Snacks,30.95,8.65,55.77,85.0
Popcorn Microwave Kettle Corn,Snacks,27.06,9.88,58.26,85.0
Popcorn Microwave Kettle Corn Light,Snacks,9.31,12.35,72.38,85.0
Popcorn Microwave Other Flavored,Snacks,30.95,8.65,55.77,85.0
Popcorn Ready-To-Eat Packaged Nfs,Snacks,32.53,8.88,53.38,14.0
Popcorn Ready-To-Eat Packaged Plain,Snacks,23.26,10.19,61.24,11.0
Popcorn Ready-To-Eat Packaged Plain Light,Snacks,14.92,11.33,68.08,8.0
Popcorn Ready-To-Eat Packaged Low Sodium,Snacks,23.44,10.27,61.73,11.0
Popcorn Ready-To-Eat Packaged Unsalted,Snacks,23.44,10.27,61.73,11.0
Popcorn Ready-To-Eat Packaged Butter Flavored,Snacks,32.53,8.88,53.38,14.0
Popcorn Ready-To-Eat Packaged Butter Flavored Light,Snacks,14.85,11.28,67.78,8.0
Popcorn Ready-To-Eat Packaged Cheese Flavored Light,Snacks,14.85,11.28,67.78,8.0
Popcorn Ready-To-Eat-Packaged Kettle Corn,Snacks,30.13,5.48,61.11,14.0
Popcorn Ready-To-Eat Packaged Kettle Corn Light,Snacks,13.01,8.94,73.49,8.0
Popcorn Caramel Coated,Snacks,12.7,3.77,78.47,35.0
Popcorn Caramel Coated With Nuts,Snacks,7.74,6.35,80.06,42.0
Popcorn Chips Plain,Snacks,11.19,10.19,74.18,1.0
Popcorn Chips Other Flavors,Snacks,11.19,10.19,74.18,1.0
Popcorn Chips Sweet Flavors,Snacks,13.48,8.75,74.63,1.0
Pretzels Hard Plain Lightly Salted,Snacks,3.22,9.57,79.8,2.0
Pretzels Hard Flavored,Snacks,3.88,9.92,79.44,2.0
Pretzels Hard Multigrain,Snacks,2.96,10.15,80.08,2.0
Pretzels Hard Flavored Gluten Free,Snacks,7.58,3.48,77.69,1.0
Pretzel Chips Hard Plain,Snacks,2.86,9.8,78.43,3.0
Pretzel Chips Hard Flavored,Snacks,2.82,9.68,77.52,3.0
Pretzel Chips Hard Gluten Free,Snacks,6.51,3.43,76.7,3.0
Pretzels Hard White Chocolate Coated,Snacks,14.12,5.94,74.77,4.0
Pretzels Hard Yogurt Coated,Snacks,12.1,5.94,76.64,4.0
Pretzels Hard Coated Gluten Free,Snacks,15.5,3.76,75.14,4.0
Pretzels Hard Peanut Butter Filled,Snacks,19.0,14.04,60.79,3.0
Pretzels Soft Nfs,Snacks,4.03,8.07,68.23,14.0
Pretzels Soft Ready-To-Eat Nfs,Snacks,4.03,8.07,68.23,14.0
Pretzels Soft Ready-To-Eat Salted Buttered,Snacks,4.03,8.07,68.23,14.0
Pretzels Soft Ready-To-Eat Unsalted Buttered,Snacks,4.05,8.12,70.34,14.0
Pretzels Soft Ready-To-Eat Salted No Butter,Snacks,3.08,8.14,68.91,14.0
Pretzels Soft Ready-To-Eat Cinnamon Sugar Coated,Snacks,6.08,6.22,74.07,14.0
Pretzels Soft Ready-To-Eat Coated Or Flavored,Snacks,7.75,7.88,66.03,14.0
Pretzels Soft Ready-To-Eat Topped With Meat,Snacks,9.94,11.56,53.65,14.0
Pretzels Soft Ready-To-Eat Topped With Cheese,Snacks,5.28,10.23,62.5,14.0
Pretzels Soft From Frozen Nfs,Snacks,4.03,8.07,68.23,71.0
Pretzels Soft From Frozen Salted,Snacks,3.08,8.14,68.91,71.0
Pretzels Soft From Frozen Cinnamon Sugar Coated,Snacks,6.08,6.22,74.07,71.0
Pretzels Soft From Frozen Coated Or Flavored,Snacks,7.75,7.88,66.03,71.0
Pretzels Soft From Frozen Topped With Meat,Snacks,9.94,11.56,53.65,71.0
Pretzels Soft From Frozen Topped With Cheese,Snacks,5.28,10.23,62.5,71.0
Pretzels Soft Filled With Cheese,Snacks,5.28,10.23,62.5,99.0
Pretzels Soft From School Lunch,Snacks,3.16,8.55,70.73,71.0
Pretzels Soft Multigrain,Snacks,3.16,8.55,69.16,62.0
Pretzels Soft Gluten Free,Snacks,5.74,4.03,57.27,95.0
Pretzels Soft Gluten Free Cinnamon Sugar Coated,Snacks,8.07,3.1,63.83,95.0
Pretzels Soft Gluten Free Coated Or Flavored,Snacks,10.37,4.09,54.16,95.0
Snack Mix Plain (Chex Mix),Snacks,10.0,8.83,75.69,60.0
Dumpling Plain,Baked Foods,3.22,3.3,20.25,18.0
Funnel Cake With Sugar,Baked Foods,16.26,7.65,43.12,90.0
Funnel Cake With Sugar And Fruit,Baked Foods,15.48,5.68,54.91,135.0
Cornmeal Dumpling,Baked Foods,4.68,5.31,25.38,240.0
Pizza Cheese From School Lunch Medium Crust,Baked Foods,8.59,13.67,29.7,147.0
Pizza Extra Cheese Thin Crust,Baked Foods,14.28,13.46,29.76,92.0
Pizza Extra Cheese Thick Crust,Baked Foods,10.97,11.42,31.88,141.0
Pizza Cheese With Vegetables From Frozen Thin Crust,Baked Foods,10.81,9.24,26.51,109.0
Pizza Cheese With Vegetables From Frozen Thick Crust,Baked Foods,8.22,11.64,31.31,143.0
Pizza Cheese With Vegetables From Restaurant Or Fast Food Thin Crust,Baked Foods,12.03,11.22,28.02,100.0
Pizza Cheese With Vegetables From Restaurant Or Fast Food Medium Crust,Baked Foods,8.69,10.31,30.71,133.0
Pizza Cheese With Vegetables From Restaurant Or Fast Food Thick Crust,Baked Foods,9.39,9.74,30.43,149.0
Pizza With Cheese And Extra Vegetables Thin Crust,Baked Foods,10.86,9.63,24.46,120.0
Pizza With Cheese And Extra Vegetables Medium Crust,Baked Foods,8.22,9.21,27.64,152.0
Pizza With Cheese And Extra Vegetables Thick Crust,Baked Foods,9.45,9.46,29.46,155.0
Pizza Cheese With Fruit Thin Crust,Baked Foods,11.56,10.72,28.5,104.0
Pizza Cheese With Fruit Medium Crust,Baked Foods,8.43,9.96,31.0,137.0
Pizza Cheese With Fruit Thick Crust,Baked Foods,9.29,9.58,31.06,150.0
Pizza With Pepperoni From Frozen Thin Crust,Baked Foods,12.71,12.25,27.52,97.0
Pizza With Pepperoni From Frozen Medium Crust,Baked Foods,11.38,12.43,29.68,102.0
Pizza With Pepperoni From Frozen Thick Crust,Baked Foods,10.05,12.6,31.83,144.0
Pizza With Pepperoni Stuffed Crust,Baked Foods,15.01,12.92,27.19,164.0
Pizza With Pepperoni From School Lunch Medium Crust,Baked Foods,9.22,13.56,29.77,147.0
Pizza With Meat Other Than Pepperoni From Frozen Thin Crust,Baked Foods,12.18,12.4,27.13,97.0
Pizza With Meat Other Than Pepperoni From Frozen Medium Crust,Baked Foods,10.94,12.56,29.3,102.0
Pizza With Meat Other Than Pepperoni From Frozen Thick Crust,Baked Foods,9.71,12.71,31.48,144.0
Pizza With Meat Other Than Pepperoni Stuffed Crust,Baked Foods,13.16,12.9,27.49,164.0
Pizza With Meat Other Than Pepperoni From School Lunch Medium Crust,Baked Foods,8.45,12.94,31.41,147.0
Pizza With Extra Meat Thin Crust,Baked Foods,16.51,16.04,22.86,120.0
Pizza With Extra Meat Medium Crust,Baked Foods,12.46,14.05,26.73,150.0
Pizza With Extra Meat Thick Crust,Baked Foods,13.08,13.53,26.75,166.0
Pizza With Meat And Vegetables From Restaurant Or Fast Food Thin Crust,Baked Foods,13.2,12.72,25.12,113.0
Pizza With Meat And Vegetables From Restaurant Or Fast Food Thick Crust,Baked Foods,10.56,10.97,30.16,149.0
Pizza With Extra Meat And Extra Vegetables Thin Crust,Baked Foods,12.06,12.53,22.4,129.0
Pizza With Extra Meat And Extra Vegetables Thick Crust,Baked Foods,10.01,11.06,26.53,173.0
Pizza With Extra Meat And Extra Vegetables Medium Crust,Baked Foods,9.33,11.51,26.1,159.0
Pizza With Meat And Fruit Thin Crust,Baked Foods,11.51,11.98,25.6,115.0
Pizza With Meat And Fruit Medium Crust,Baked Foods,8.58,10.98,28.36,150.0
Pizza With Meat And Fruit Thick Crust,Baked Foods,9.52,10.58,29.26,157.0
Pizza With Beans And Vegetables Thin Crust,Baked Foods,9.48,10.24,25.22,129.0
Pizza With Beans And Vegetables Thick Crust,Baked Foods,8.18,9.44,28.48,173.0
Pizza No Cheese Thin Crust,Baked Foods,13.64,7.38,30.77,75.0
Pizza No Cheese Thick Crust,Baked Foods,12.13,7.41,37.95,124.0
White Pizza Cheese Thin Crust,Baked Foods,14.88,12.18,27.48,92.0
White Pizza Cheese Thick Crust,Baked Foods,12.53,11.48,32.16,141.0
White Pizza Cheese With Vegetables Thin Crust,Baked Foods,12.65,9.95,23.53,106.0
White Pizza Cheese With Vegetables Thick Crust,Baked Foods,11.07,9.76,28.11,155.0
White Pizza Cheese With Meat Thin Crust,Baked Foods,18.49,13.48,22.95,100.0
White Pizza Cheese With Meat Thick Crust,Baked Foods,15.87,12.67,27.69,154.0
White Pizza Cheese With Meat And Vegetables Thin Crust,Baked Foods,16.3,12.01,21.21,118.0
White Pizza Cheese With Meat And Vegetables Thick Crust,Baked Foods,14.29,11.51,25.75,155.0
Calzone With Cheese Meatless,Baked Foods,22.05,17.41,28.83,424.0
Calzone With Meat And Cheese,Baked Foods,18.24,14.28,31.16,424.0
Pizza Rolls,Baked Foods,10.5,9.19,53.39,119.0
Pizza Cheese Whole Wheat Thin Crust,Baked Foods,13.28,11.04,28.88,119.0
Pizza Cheese Whole Wheat Thick Crust,Baked Foods,11.26,10.69,33.54,132.0
Pizza With Meat Whole Wheat Thin Crust,Baked Foods,17.22,12.57,24.04,124.0
Pizza With Meat Whole Wheat Thick Crust,Baked Foods,14.81,12.0,28.83,139.0
Pizza Cheese And Vegetables Whole Wheat Thin Crust,Baked Foods,11.35,9.02,24.61,133.0
Pizza Cheese And Vegetables Whole Wheat Thick Crust,Baked Foods,9.99,9.08,29.23,149.0
Pizza Cheese Gluten-Free Thin Crust,Baked Foods,14.16,8.32,25.84,119.0
Pizza Cheese Gluten-Free Thick Crust,Baked Foods,12.3,7.49,30.0,132.0
Pizza With Meat Gluten-Free Thin Crust,Baked Foods,17.93,10.36,21.58,124.0
Pizza With Meat Gluten-Free Thick Crust,Baked Foods,15.69,9.3,25.84,139.0
Pizza Cheese And Vegetables Gluten-Free Thin Crust,Baked Foods,12.05,6.85,22.19,133.0
Pizza Cheese And Vegetables Gluten-Free Thick Crust,Baked Foods,10.86,6.41,26.28,149.0
Cornmeal Fritter Puerto Rican Style,Baked Foods,17.21,6.77,20.78,40.0
Cornmeal Stick Puerto Rican Style,Baked Foods,20.58,6.94,48.5,20.0
Cornstarch Coconut Dessert Puerto Rican Style,Sweets,22.51,2.18,20.87,250.0
Cornmeal Coconut Dessert Puerto Rican Style,Sweets,20.49,2.82,27.72,262.0
Sweet Bread Dough Filled With Bean Paste Meatless Steamed,Baked Foods,2.87,6.56,53.99,103.0
Pastry Cheese-Filled,Baked Foods,19.73,8.28,15.02,28.0
Noodle Pudding With Milk,Sweets,7.09,6.16,43.25,144.0
Spicy Rice Pudding Puerto Rican Style,Sweets,1.0,1.31,30.89,240.0
Rice Pudding Made With Coconut Milk Puerto Rican Style,Sweets,17.95,2.64,28.43,256.0
Lemon Pie Filling,Sweets,6.56,4.72,69.01,266.0
Cherry Pie Filling,Sweets,0.85,0.6,28.66,264.0
Lime Souffle,Sweets,14.47,8.82,39.96,120.0
Fruit Smoothie With Whole Fruit No Dairy,Beverages,0.28,0.64,13.1,27.0
Fruit Smoothie With Whole Fruit No Dairy Added Protein,Beverages,0.37,6.22,12.61,27.0
Fruit Smoothie Juice Drink No Dairy,Beverages,0.15,0.63,12.4,27.0
Fruit Smoothie Light,Beverages,0.62,2.62,9.72,27.0
Potato Chips Restructured Plain,Snacks,35.17,4.61,55.21,2.0
Potato Chips Restructured Flavored,Snacks,35.07,4.59,55.05,2.0
Potato Chips Baked Flavored,Snacks,18.11,4.97,71.04,2.0
Potato Chips Reduced Fat,Snacks,20.59,7.03,67.13,2.0
Potato Chips Fat Free,Snacks,20.59,7.03,67.13,1.0
Potato Chips Unsalted,Snacks,30.3,6.25,59.66,2.0
Potato Chips Lightly Salted,Snacks,35.32,6.71,53.43,2.0
Potato Chips Restructured Lightly Salted,Snacks,35.32,6.71,53.43,2.0
Potato Chips Popped Flavored,Snacks,18.11,4.97,71.04,1.0
Potato Sticks Flavored,Snacks,34.06,6.63,52.77,3.0
Potato Sticks Fry Shaped,Snacks,34.06,6.63,52.77,3.0
Vegetable Chips,Snacks,26.56,4.72,59.2,2.0
Casabe Cassava Bread,Baked Foods,0.52,2.54,71.22,100.0
Yam Buns; Puerto Rican Style,Baked Foods,19.0,3.46,29.77,153.0
Sweet Potato Chips,Snacks,32.19,2.92,56.54,2.0
Fruit And Vegetable Smoothie,Beverages,0.62,1.69,13.22,27.0
Fruit And Vegetable Smoothie Added Protein,Beverages,0.69,7.58,12.68,27.0
Sugar Cinnamon,Sweets,0.09,0.28,98.63,200.0
Sugar Substitute And Sugar Blend,Sweets,0.0,0.0,99.72,2.0
Sugar Substitute Stevia Liquid,Sweets,0.0,0.8,12.13,5.0
Sugar Substitute Powder Nfs,Sweets,0.0,0.66,90.14,1.0
Sugar Substitute Liquid Nfs,Sweets,0.0,0.8,12.13,5.0
Sugar Substitute Saccharin Liquid,Sweets,0.0,0.02,2.05,5.0
Sugar White And Water Syrup,Sweets,0.0,0.0,78.48,242.0
Sugar Brown And Water Syrup,Sweets,0.0,0.1,79.69,242.0
Sugar Brown Liquid,Sweets,0.0,0.08,68.12,335.0
Hard Sauce,Sweets,24.03,0.25,62.52,168.0
Topping Chocolate Flavored Hazelnut Spread,Sweets,29.73,5.41,62.16,18.0
Topping Milk Chocolate With Cereal,Sweets,50.56,5.35,41.77,35.0
Caramel Dip Regular,Sweets,12.17,1.16,48.47,20.0
Chocolate Dip,Sweets,13.06,3.33,65.39,20.0
Dessert Dip,Sweets,15.39,6.16,22.94,15.0
Syrup Dietetic,Sweets,0.0,0.8,12.13,240.0
Topping Dietetic,Sweets,0.0,0.8,12.13,227.0
Fruit Sauce,Sweets,7.46,0.44,40.42,340.0
Dessert Sauce,Sweets,7.79,0.09,19.6,264.0
